1;1;0;0,001
2;1;0,5;0
3;1;1;0
4;1;1,5;0
5;1;2;0
6;1;2,5;0
7;1;3;0
8;1;3,5;0
9;1;4;0
10;1;4,5;0
11;1;5;0
12;1;5,5;0
13;1;6;0
14;1;6,5;0
15;1;7;0
16;1;7,5;0
17;1;8;0
18;1;8,5;0
19;1;9;0
20;1;9,5;0
21;1;0,25;0,5
22;1;0,75;0,5
23;1;1,25;0,5
24;1;1,75;0,5
25;1;2,25;0,5
26;1;2,75;0,5
27;1;3,25;0,5
28;1;3,75;0,5
29;1;4,25;0,5
30;1;4,75;0,5
31;1;5,25;0,5
32;1;5,75;0,5
33;1;6,25;0,5
34;1;6,75;0,5
35;1;7,25;0,5
36;1;7,75;0,5
37;1;8,25;0,5
38;1;8,75;0,5
39;1;9,25;0,5
40;1;9,75;0,5
1;2;14;5
2;2;14;5,6
3;2;14;6,2
4;2;14;6,8
5;2;14;7,4
6;2;14;8
7;2;14;8,6
8;2;14;9,2
9;2;14;9,8
10;2;14;10,4
11;2;14;11
12;2;14;11,6
13;2;14;12,2
14;2;14;12,8
15;2;14;13,4
16;2;14;14
17;2;14;14,6
18;2;14;15,2
19;2;14;15,8
20;2;14;16,4
21;2;14,8;5
22;2;14,8;5,6
23;2;14,8;6,2
24;2;14,8;6,8
25;2;14,8;7,4
26;2;14,8;8
27;2;14,8;8,6
28;2;14,8;9,2
29;2;14,8;9,8
30;2;14,8;10,4
31;2;14,8;11
32;2;14,8;11,6
33;2;14,8;12,2
34;2;14,8;12,8
35;2;14,8;13,4
36;2;14,8;14
37;2;14,8;14,6
38;2;14,8;15,2
39;2;14,8;15,8
40;2;14,8;16,4
